junction_name,total_cases,unique_vehicles,n_approved,n_rejected,avg_response_min,peak_hour_violations,n_recurrent,approval_rate_pct,peak_hour_pct,volume_rank
"BTP114 - KR Road Junction, Near JSS",64,64,17,8,,11,0,26.56,17.19,142
BTP185 - RV Teachers College,57,48,37,3,,4,2,64.91,7.02,143
BTP187 - South End Circle,56,53,16,10,,6,0,28.57,10.71,144
BTP128 - Gorappanapalya Junction,55,52,19,3,,10,3,34.55,18.18,145
BTP053 - Three Let Junction,51,51,35,5,,7,0,68.63,13.73,146
BTP141 - Palmgroove Junction,50,45,24,9,,3,7,48.0,6.0,147
BTP134 - Mico Bande,49,48,21,12,,8,0,42.86,16.33,148
BTP006 - Navarang Bar Junction,47,47,20,9,,4,0,42.55,8.51,149
BTP158 - Devegowda Petrol Bunk,45,45,13,3,,14,0,28.89,31.11,150
"BTP164 - 29th Main Road, BTM Layout",42,38,1,2,,2,0,2.38,4.76,151
BTP035 - Basaweshwara Circle (LH) Junction,36,34,23,4,,8,3,63.89,22.22,152
BTP142 - Lower Agram Road Junction,33,19,16,12,,9,0,48.48,27.27,153
BTP077 - Halasuru Gate Junction,30,23,16,6,,1,0,53.33,3.33,154
"BTP200 - 15th Cross, 33rd Main, JP Nagar",28,24,10,2,,6,8,35.71,21.43,155
"BTP025 - Puttamma Choultry, Nagarbhavi",27,26,15,7,,4,0,55.56,14.81,156
BTP143 - ASC Junction,24,18,6,3,,15,9,25.0,62.5,157
"BTP161 - 15th Cross, 35th Main, JP Nagar",23,22,11,11,,1,0,47.83,4.35,158
BTP213 - Royan Circle,21,21,2,2,,4,0,9.52,19.05,159
BTP157 - Kadirenahalli Cross,16,16,3,1,,4,0,18.75,25.0,160
"BTP198 - 9th Cross, 8th Main, JP Nagar",14,14,6,7,,1,0,42.86,7.14,161
BTP156 - Kamakya Junction,13,13,4,1,,0,0,30.77,0.0,162
BTP154 - Itmadu Junction,12,12,2,5,,0,0,16.67,0.0,163
"BTP112 - 14th Cross, KR Road",10,10,6,0,,0,0,60.0,0.0,164
BTP181 - Bileka Halli Junction,8,8,6,0,,0,0,75.0,0.0,165
"BTP110 - Bharathi Nursing Home, Basavanagudi",7,7,0,0,,0,0,0.0,0.0,166
"BTP178 - 18th Main, Marenahalli",7,7,4,0,,0,0,57.14,0.0,167
BTP144 - Commando Hospital Junction,6,6,3,2,,0,0,50.0,0.0,168
