spatial_cell_id,raw_count,normalized_count,observed_days,full_month_days,normalization_factor
CELL_2600_15505,11,41,8,30,3.75
CELL_2600_15508,3,11,8,30,3.75
CELL_2600_15509,57,214,8,30,3.75
CELL_2600_15510,70,262,8,30,3.75
CELL_2600_15513,18,68,8,30,3.75
CELL_2600_15514,75,281,8,30,3.75
CELL_2600_15515,2,8,8,30,3.75
CELL_2600_15516,3,11,8,30,3.75
CELL_2600_15518,2,8,8,30,3.75
CELL_2600_15522,35,131,8,30,3.75
CELL_2600_15523,1,4,8,30,3.75
CELL_2600_15524,1,4,8,30,3.75
CELL_2600_15526,1,4,8,30,3.75
CELL_2600_15532,1,4,8,30,3.75
CELL_2600_15535,98,368,8,30,3.75
CELL_2600_15537,3,11,8,30,3.75
CELL_2600_15541,1,4,8,30,3.75
CELL_2600_15542,2,8,8,30,3.75
CELL_2600_15544,11,41,8,30,3.75
CELL_2600_15551,3,11,8,30,3.75
CELL_2601_15501,3,11,8,30,3.75
CELL_2601_15505,31,116,8,30,3.75
CELL_2601_15508,6,22,8,30,3.75
CELL_2601_15509,107,401,8,30,3.75
CELL_2601_15510,187,701,8,30,3.75
CELL_2601_15511,52,195,8,30,3.75
CELL_2601_15513,10,38,8,30,3.75
CELL_2601_15514,135,506,8,30,3.75
CELL_2601_15515,14,52,8,30,3.75
CELL_2601_15516,17,64,8,30,3.75
CELL_2601_15518,2,8,8,30,3.75
CELL_2601_15522,3,11,8,30,3.75
CELL_2601_15523,2,8,8,30,3.75
CELL_2601_15524,65,244,8,30,3.75
CELL_2601_15537,1,4,8,30,3.75
CELL_2601_15538,73,274,8,30,3.75
CELL_2601_15539,272,1020,8,30,3.75
CELL_2601_15551,8,30,8,30,3.75
CELL_2602_15501,6,22,8,30,3.75
CELL_2602_15506,13,49,8,30,3.75
CELL_2602_15507,10,38,8,30,3.75
CELL_2602_15509,19,71,8,30,3.75
CELL_2602_15510,607,2276,8,30,3.75
CELL_2602_15511,18,68,8,30,3.75
CELL_2602_15513,2,8,8,30,3.75
CELL_2602_15514,5,19,8,30,3.75
CELL_2602_15515,2,8,8,30,3.75
CELL_2602_15516,25,94,8,30,3.75
CELL_2602_15517,1,4,8,30,3.75
CELL_2602_15518,2,8,8,30,3.75
CELL_2602_15525,1,4,8,30,3.75
CELL_2602_15527,2,8,8,30,3.75
CELL_2602_15528,3,11,8,30,3.75
CELL_2602_15539,8,30,8,30,3.75
CELL_2603_15506,63,236,8,30,3.75
CELL_2603_15508,1,4,8,30,3.75
CELL_2603_15510,9,34,8,30,3.75
CELL_2603_15511,2,8,8,30,3.75
