patrol_rank,cell_lat,cell_lon,ensemble_score,pred_lgbm,pred_rolling,pred_lag1,count_lag1,rolling_mean_3m,recurrence_rate,n_active_months,persistence_score,patrol_tier
148,,,67.37847360586011,56.95694721172019,77.66666666666667,78.0,78.0,77.66666666666667,1.0,5,1.0,Tier 2 — Medium
149,,,66.50119527329363,54.202390546587274,66.0,98.0,98.0,66.0,1.0,5,1.0,Tier 2 — Medium
150,,,66.02809098071697,61.85618196143394,87.0,45.0,45.0,87.0,1.0,5,1.0,Tier 2 — Medium
151,,,65.58506804718616,64.17013609437232,57.666666666666664,81.0,81.0,57.666666666666664,1.0,5,1.0,Tier 2 — Medium
152,,,65.17502333380885,69.95004666761771,72.0,43.0,43.0,72.0,1.0,5,1.0,Tier 2 — Medium
153,,,65.07585359257682,57.15170718515364,70.33333333333333,77.0,77.0,70.33333333333333,1.0,5,1.0,Tier 2 — Medium
154,,,65.02767207407273,62.855344148145434,80.66666666666667,47.0,47.0,80.66666666666667,1.0,5,1.0,Tier 2 — Medium
155,,,64.6877547382767,76.9755094765534,61.333333333333336,39.0,39.0,61.333333333333336,1.0,5,1.0,Tier 2 — Medium
156,,,64.01403155504698,63.42806311009397,52.333333333333336,83.0,83.0,52.333333333333336,1.0,5,1.0,Tier 2 — Medium
157,,,63.26086524329075,60.12173048658151,60.666666666666664,75.0,75.0,60.666666666666664,1.0,5,1.0,Tier 2 — Medium
158,,,63.21597799852621,73.23195599705244,59.333333333333336,44.0,44.0,59.333333333333336,1.0,5,1.0,Tier 2 — Medium
159,,,61.6084828671676,61.216965734335204,58.0,68.0,68.0,58.0,1.0,5,1.0,Tier 2 — Medium
160,,,60.89476847866211,48.98953695732421,79.33333333333333,63.0,63.0,79.33333333333333,1.0,5,1.0,Tier 2 — Medium
161,,,60.38424431998438,55.76848863996876,73.0,53.0,53.0,73.0,1.0,5,1.0,Tier 2 — Medium
162,,,59.52609491400234,55.852189828004676,72.66666666666667,49.0,49.0,72.66666666666667,1.0,5,1.0,Tier 2 — Medium
163,,,58.232264416050334,62.26452883210067,37.0,80.0,80.0,37.0,1.0,5,1.0,Tier 2 — Medium
164,,,58.16890503829053,44.33781007658107,67.33333333333333,79.0,79.0,67.33333333333333,1.0,5,1.0,Tier 2 — Medium
165,,,57.618190116891725,61.63638023378346,46.666666666666664,64.0,64.0,46.666666666666664,1.0,5,1.0,Tier 2 — Medium
166,,,56.49966976805958,44.39933953611917,73.0,62.0,62.0,73.0,1.0,5,1.0,Tier 2 — Medium
167,,,55.74203736146529,41.08407472293059,57.333333333333336,90.0,90.0,57.333333333333336,1.0,5,1.0,Tier 2 — Medium
